"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"APOBEC2",7.14265573466666,4.12076292384615,3.44799662437846,0.00203093393580951,0.00594641149636198,-1.97400881907678,"APOBEC2"
"TOMM34",6.986675968,4.03077459692308,3.44642154195717,0.00203891779359713,0.00596046254778993,-1.97777694909031,"TOMM34"
"NCAPD2",6.90769864399999,3.98521075615385,3.44596151933347,0.00204125533465878,0.00596046254778993,-1.97887736735772,"NCAPD2"
"MYD88",6.40357565266666,3.69437056884615,3.44595171440128,0.0020413051854226,0.00596046254778993,-1.97890082114767,"MYD88"
"PRUNE1",6.50067801133333,3.75039116038462,3.44480225904471,0.00204715752276747,0.00597211680960073,-1.98165020548115,"PRUNE1"
"FLG2",6.720419018,3.87716481807692,3.44406512589467,0.00205091914833323,0.00597765626430638,-1.98341318970348,"FLG2"
"CD1E",6.86532131333333,3.96076229615385,3.44278069035893,0.00205748975399561,0.00599136535442098,-1.9864848342823,"CD1E"
"DBR1",7.111271986,4.102656915,3.44143042718823,0.00206441917955845,0.00600609351514331,-1.98971347616458,"DBR1"
"XAB2",4.85490249653333,2.80090528646154,3.43866438039116,0.00207868522160578,0.00604212035881609,-1.99632606396365,"XAB2"
"OSBPL8",6.21626114026666,3.586304504,3.43082206786409,0.00211965559377681,0.00615563330355635,-2.01506411416675,"OSBPL8"
"NKTR",7.54322159333333,4.35185861153846,3.42915777843322,0.0021284507437381,0.00616997639139248,-2.0190387796987,"NKTR"
