"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"OXLD1",12,44,30,12,60,22,34,22,11,25,51,6,56,66,45,49
"CCDC137",12,23,22,7,50,44,56,66,55,33,91,9,52,43,44,60
"ARL16",34,57,51,13,51,44,130,60,60,11,48,4,43,50,49,71
"HGS",91,159,182,55,281,336,211,678,486,133,385,23,246,105,192,221
"MIR6786",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"MRPL12",11,27,39,3,50,35,61,103,20,27,91,8,85,41,46,43
"SLC25A10",6,10,14,3,9,22,12,40,29,20,10,1,29,12,15,16
"LOC105371929",0,0,0,0,9,0,0,3,0,0,3,1,5,0,0,0
"LOC105376789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCGR",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"MCRIP1",88,112,103,31,89,99,266,189,122,95,43,13,63,81,128,106
"PPP1R27",1,1,3,0,0,0,12,4,1,0,3,0,0,0,2,1
"P4HB",149,103,206,41,263,206,233,261,245,180,582,53,317,151,200,275
